Altitude_km,Diameter_m,Delta_h_km,ShellVol_km3,Human_made,Total,N_human_bin,N_total_bin
312.5,0.01675,25.0,14033250700.71544,1.456e-09,1.456e-09,20.432413020241682,20.432413020241682
337.5,0.01675,25.0,14138431222.757627,1.577e-09,1.577e-09,22.29630603828878,22.29630603828878
362.5,0.01675,25.0,14244004443.881514,1.961e-09,1.961e-09,27.93249271445165,27.93249271445165
387.5,0.01675,25.0,14349970364.087097,1.984e-09,1.984e-09,28.470341202348802,28.470341202348802
412.5,0.01675,25.0,14456328983.374378,3.163e-09,3.163e-09,45.72536857441316,45.72536857441316
437.5,0.01675,25.0,14563080301.74336,3.247e-09,3.247e-09,47.286321739760695,47.286321739760695
462.5,0.01675,25.0,14670224319.19404,4.243e-09,4.243e-09,62.24576178634032,62.24576178634032
487.5,0.01675,25.0,14777761035.726418,5.185e-09,5.185e-09,76.62269097024148,76.62269097024148
512.5,0.01675,25.0,14885690451.340496,6.718e-09,6.718e-09,100.00206845210546,100.00206845210546
537.5,0.01675,25.0,14994012566.036272,8.683e-09,8.683e-09,130.19301111089297,130.19301111089297
562.5,0.01675,25.0,15102727379.813747,7.358e-09,7.358e-09,111.12586806066955,111.12586806066955
587.5,0.01675,25.0,15211834892.67292,8.394e-09,8.394e-09,127.6881420890965,127.6881420890965
612.5,0.01675,25.0,15321335104.613792,1.003e-08,1.003e-08,153.67299109927632,153.67299109927632
637.5,0.01675,25.0,15431228015.636364,1.328e-08,1.328e-08,204.92670804765092,204.92670804765092
662.5,0.01675,25.0,15541513625.740633,1.545e-08,1.545e-08,240.11638551769278,240.11638551769278
687.5,0.01675,25.0,15652191934.926601,1.97e-08,1.97e-08,308.3481811180541,308.3481811180541
